GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hibernate,uk.pallas.systems.categr.domain.entities.v1,CategoryDomain,10,81,2,10,5,17,4,11,2,7
hibernate,uk.pallas.systems.categr.services,CategoriesDAO,96,0,20,0,30,0,16,0,6,0
