GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rest,uk.pallas.systems.categr.rest,CategoriesController,89,0,14,0,23,0,13,0,6,0
rest,uk.pallas.systems.categr.rest.entities.v1,CategoryDTO,24,67,2,10,6,16,5,10,3,6
